Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Robert Kelley\KellRo00,WAS,10,1,-4.80%,-12.60%,18,82,97,1,67%,0
Aaron Ripkowski\RipkAa00,GB,10,12,2.70%,6.80%,10,46,62,1,90%,0
Alan Cross\CrosAl00,TB,9,10,-1.40%,0.20%,10,38,70,1,60%,0
Kenyan Drake\DrakKe00,MIA,8,7,0.60%,-1.70%,10,46,58,0,90%,0
Andre Ellington\ElliAn00,ARI,8,2,-4.30%,-12.00%,19,85,56,0,63%,0
DeAndre Washington\WashDe00,OAK,1,0,-12.90%,-13.90%,23,115,95,0,74%,0
Paul Perkins\PerkPa00,NYG,-1,-3,-14.40%,-16.60%,24,162,89,0,63%,0
Arian Foster\FostAr00,MIA,-1,-2,-15.10%,-18.20%,10,78,36,0,60%,0
C.J. Anderson\AndeC.00,DEN,-2,16,-15.40%,-1.60%,24,128,90,1,67%,0
Ronnie Hillman\HillRo00,2TM,-3,-14,-17.60%,-30.00%,16,92,57,0,50%,0
Lance Dunbar\DunbLa00,DAL,-5,-16,-17.50%,-26.10%,24,122,82,0,67%,1
Jonathan Grimes\GrimJo01,HOU,-5,-4,-18.20%,-17.40%,18,94,73,0,72%,0
Dwayne Washington\WashDw00,DET,-5,-14,-20.10%,-30.70%,15,62,49,0,67%,0
John Kuhn\KuhnJo00,NO,-8,-6,-20.20%,-18.70%,20,70,74,1,80%,0
Wendell Smallwood\SmalWe00,PHI,-9,-17,-27.60%,-40.80%,13,55,27,0,46%,0
Benny Cunningham\CunnBe01,LARM,-12,-17,-24.00%,-28.30%,21,91,58,0,76%,0
Kenjon Barner\BarnKe00,PHI,-15,-9,-40.70%,-30.00%,11,42,9,0,45%,0
Mike Gillislee\GillMi00,BUF,-18,-10,-48.00%,-33.00%,11,50,0,1,82%,0
Shane Vereen\VereSh00,NYG,-19,-24,-33.60%,-38.20%,19,94,30,0,58%,1
Dexter McCluster\McClDe00,SD,-23,-14,-52.00%,-37.90%,11,36,-4,0,64%,0
Dion Lewis\LewiDi00,NE,-25,-22,-31.90%,-29.80%,24,94,47,0,71%,0
C.J. Spiller\SpilC.00,2TM,-30,-30,-59.50%,-59.00%,13,50,-15,1,46%,1
Kenneth Farrow\FarrKe02,SD,-35,-29,-54.50%,-47.90%,16,70,-11,0,81%,1
Alfred Blue\BlueAl00,HOU,-42,-40,-59.70%,-57.40%,16,40,-21,0,75%,0
Jonathan Stewart\StewJo00,CAR,-67,-63,-70.10%,-66.90%,21,60,-53,0,38%,0
