Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM,DPI
L.Fitzgerald,ARI,147,182,-1.30%,1.40%,161,"1,156","1,270",6,68%,1,Apr-50
D.Thomas,DEN,146,151,0.20%,0.60%,140,949,"1,142",5,59%,1,6/111
J.Kearse,NYJ,146,133,5.20%,3.60%,102,810,882,5,64%,1,Mar-35
R.Grant,WAS,146,152,16.70%,18.00%,65,573,619,4,69%,0,0/0
N.Agholor,PHI,141,130,6.70%,5.30%,95,768,798,8,65%,0,0/0
C.Godwin,TB,138,130,20.50%,18.50%,55,525,543,1,62%,0,0/0
D.Amendola,NE,138,150,8.40%,10.20%,86,659,737,2,71%,1,0/0
W.Fuller,HOU,126,134,17.60%,19.50%,50,423,525,7,56%,0,Feb-67
K.Benjamin,2TM,125,129,8.10%,8.70%,78,692,677,3,62%,0,5-Jan
S.Shepard,NYG,120,122,4.90%,5.20%,84,733,731,2,70%,1,0/0
M.Lee,JAC,119,115,3.00%,2.50%,96,702,795,3,58%,1,Mar-61
M.Bryant,PIT,118,107,4.90%,3.20%,84,603,723,3,60%,0,5/101
Tr.Taylor,SF,114,92,11.40%,6.80%,60,430,552,2,72%,0,6-Jan
R.Anderson,NYJ,113,99,-0.10%,-1.70%,116,949,902,7,56%,0,20-Jan
A.Humphries,TB,112,99,5.10%,3.10%,83,631,679,1,73%,1,0/0
A.Jeffery,PHI,108,115,-1.20%,-0.50%,120,789,927,9,48%,0,Mar-92
K.Stills,MIA,107,91,0.40%,-1.60%,105,854,823,6,55%,4,Feb-62
D.Jackson,TB,105,99,1.60%,0.80%,90,668,755,3,56%,0,Apr-58
J.Landry,MIA,98,75,-4.90%,-6.70%,161,987,"1,163",9,70%,3,Feb-39
M.Wallace,BAL,96,123,0.40%,4.20%,92,748,737,4,57%,0,Feb-51
T.Y.Hilton,IND,75,60,-3.80%,-5.60%,109,966,801,4,52%,2,Jan-34
A.J.Green,CIN,73,88,-6.40%,-5.10%,143,"1,086","1,063",8,52%,2,May-57
T.J.Jones,DET,73,68,6.90%,5.40%,49,399,413,1,61%,0,Jan-00
E.Decker,TEN,72,80,-1.60%,-0.30%,83,563,638,1,65%,0,Feb-36
C.Hogan,NE,71,84,2.50%,5.30%,59,439,483,5,58%,0,17-Jan
T.Williams,DAL,67,75,-1.90%,-0.80%,78,568,611,0,68%,0,Jan-36
T.Benjamin,LACH,65,76,0.50%,2.70%,66,574,500,4,53%,0,30-Jan
J.Crowder,WAS,64,50,-4.50%,-6.30%,103,789,731,3,64%,0,0/0
D.Thompson,2TM,64,85,-0.90%,2.90%,69,555,535,2,55%,0,31-Jan
J.Nelson,GB,58,49,-5.00%,-6.20%,89,482,706,6,60%,0,Mar-35
K.Wright,CHI,53,53,-4.80%,-4.90%,91,614,627,1,65%,0,8-Jan
M.Crabtree,OAK,52,54,-6.50%,-6.20%,101,618,757,8,57%,1,Mar-97
T.Lockett,SEA,48,68,-3.40%,0.40%,71,555,499,2,63%,0,0/0
R.Cobb,GB,48,41,-6.00%,-7.00%,93,647,657,4,72%,1,22-Jan
J.J.Nelson,ARI,48,44,-1.90%,-2.70%,61,508,432,2,48%,1,15-Jan
P.Garcon,SF,45,41,-3.80%,-4.70%,67,500,481,0,60%,0,12-Jan
J.Doctson,WAS,37,22,-7.10%,-9.40%,78,502,593,6,45%,0,Apr-84
K.Cole,JAC,35,57,-7.40%,-4.20%,83,752,594,3,51%,2,14-Jan
S.Roberts,OAK,34,33,-5.80%,-6.10%,65,459,457,1,66%,2,8-Jan
A.Cooper,OAK,27,20,-9.10%,-10.00%,95,680,640,7,51%,1,Feb-64
T.Gabriel,ATL,18,19,-8.00%,-7.70%,51,378,347,1,65%,0,9-Jan
D.Parker,MIA,12,6,-11.00%,-11.90%,96,670,631,1,59%,1,8-Jan
B.Fowler,DEN,12,14,-9.80%,-9.40%,56,350,358,3,52%,0,0/0
Ja.Brown,ARI,6,33,-11.50%,-6.60%,69,477,455,4,45%,0,Mar-34
D.Bryant,DAL,-9,-8,-13.50%,-13.40%,132,838,859,6,52%,1,Apr-57
C.Beasley,DAL,-22,-8,-16.90%,-14.30%,63,314,388,4,57%,0,Feb-49
T.Smith,PHI,-29,-26,-18.20%,-17.70%,69,427,386,2,54%,0,Mar-92
B.LaFell,CIN,-30,-35,-16.90%,-17.60%,89,548,539,3,58%,1,Apr-55
D.Westbrook,JAC,-35,-24,-21.50%,-18.70%,51,339,269,1,53%,1,0/0
R.Lewis,NYG,-35,-39,-18.70%,-19.50%,72,416,414,2,50%,0,7-Jan
J.Maclin,BAL,-36,-17,-19.10%,-15.70%,72,440,401,3,56%,0,7-Jan
E.Sanders,DEN,-40,-36,-18.20%,-17.60%,91,565,526,2,51%,0,10-Jan
C.Coleman,CLE,-41,-60,-21.50%,-25.80%,58,305,312,2,40%,0,Feb-38
R.Higgins,CLE,-41,-50,-23.10%,-25.50%,51,316,258,2,55%,1,0/0
R.Louis,CLE,-50,-57,-23.00%,-24.40%,61,357,318,0,44%,0,12-Jan
Jo.Brown,ARI,-51,-29,-24.40%,-19.30%,55,299,278,3,38%,0,Mar-53
B.Ellington,HOU,-53,-61,-24.50%,-26.30%,57,329,285,2,51%,1,31-Jan
C.Davis,TEN,-88,-97,-30.20%,-31.90%,65,375,279,0,52%,1,0/0
Z.Jones,BUF,-131,-119,-35.20%,-33.10%,74,316,279,2,36%,0,19-Jan
B.Butler,DAL,135,133,61.60%,60.60%,23,319,346,3,65%,0,17-Jan
K.Golladay,DET,130,126,21.90%,20.70%,48,477,498,3,58%,0,Jan-34
D.Moncrief,IND,94,88,11.40%,10.00%,47,391,455,2,55%,0,Jan-36
C.Latimer,DEN,88,88,21.90%,22.00%,31,287,336,2,61%,0,0/0
J.Wright,MIN,84,86,29.00%,29.60%,25,198,289,2,72%,0,24-Jan
T.Boyd,CIN,76,71,19.50%,17.00%,32,225,306,2,69%,0,0/0
J.Kerley,NYJ,64,72,19.00%,22.80%,27,225,260,1,81%,0,0/0
J.Grant,MIA,60,58,22.10%,20.80%,23,210,229,2,61%,0,26-Jan
M.Hollins,PHI,59,61,25.00%,26.10%,22,226,216,1,73%,0,0/0
J.Hardy,ATL,59,62,12.50%,14.10%,29,221,276,3,69%,1,6-Jan
O.Beckham,NYG,57,64,3.50%,5.40%,41,302,374,3,61%,0,Feb-32
A.Erickson,CIN,54,52,31.10%,29.50%,16,180,180,1,75%,1,0/0
D.Inman,2TM,54,60,3.60%,5.40%,44,343,350,1,57%,0,21-Jan
B.Coleman,NO,53,57,6.00%,7.20%,37,374,311,3,62%,2,0/0
C.Conley,KC,50,49,27.20%,26.70%,16,175,175,0,69%,0,0/0
P.Dorsett,NE,45,40,21.60%,17.50%,18,194,175,0,67%,0,0/0
A.Holmes,BUF,43,50,9.80%,13.60%,23,120,217,3,57%,0,24-Jan
M.Campanaro,BAL,34,32,3.40%,2.40%,27,173,223,1,70%,0,14-Jan
J.Matthews,BUF,33,32,-0.60%,-0.80%,36,282,269,1,69%,1,0/0
C.Rogers,IND,28,15,-3.10%,-7.40%,37,284,278,1,62%,0,0/0
T.McBride,CHI,27,20,10.60%,4.60%,15,144,133,0,53%,0,0/0
T.Pryor,WAS,23,21,-5.30%,-5.90%,37,240,282,1,54%,0,4-Jan
J.Mickens,JAC,22,29,10.10%,17.70%,11,77,109,2,55%,0,13-Jan
J.Holton,OAK,21,24,3.00%,5.60%,18,218,138,3,50%,2,0/0
J.Bellamy,CHI,20,35,-6.80%,-2.60%,46,376,311,1,52%,0,0/0
DA.Thomas,KC,20,23,4.70%,7.30%,16,143,123,2,88%,0,0/0
B.Bersin,CAR,19,23,5.60%,9.10%,14,128,115,0,57%,0,0/0
C.Patterson,OAK,17,5,-7.40%,-11.20%,42,305,294,0,74%,0,3-Jan
J.Gordon,CLE,16,13,-7.80%,-8.80%,42,335,292,1,43%,0,0/0
T.King,NYG,16,23,-7.50%,-5.10%,37,240,267,3,49%,0,Feb-29
K.Bourne,SF,8,-3,-9.70%,-13.90%,34,257,219,0,47%,0,0/0
Ta.Taylor,TEN,6,18,-9.70%,-4.20%,28,231,182,1,57%,0,6-Jan
L.Murphy,SF,4,7,-9.40%,-7.50%,17,121,114,1,47%,0,0/0
J.Taylor,DEN,3,6,-10.90%,-9.10%,20,142,132,0,65%,0,0/0
B.Tate,BUF,1,1,-12.10%,-11.60%,14,81,84,1,43%,0,0/0
D.Byrd,CAR,0,-1,-13.00%,-13.10%,17,105,113,2,59%,0,0/0
C.Moore,BAL,-4,-5,-14.10%,-14.20%,38,248,234,3,47%,0,0/0
A.Darboh,SEA,-6,-2,-19.10%,-14.90%,13,71,71,0,62%,0,Feb-32
G.Allison,GB,-8,-12,-15.00%,-16.30%,39,253,257,0,59%,1,18-Feb
M.Williams,LACH,-10,-24,-18.00%,-25.20%,23,95,143,0,48%,0,12-Feb
T.Lewis,NO,-12,-10,-22.80%,-21.10%,15,116,76,1,67%,0,0/0
C.Samuel,CAR,-12,-10,-18.30%,-17.30%,26,115,153,0,58%,0,Feb-61
J.Hunter,PIT,-12,-15,-29.60%,-33.20%,10,23,40,1,40%,0,0/0
L.Carroo,MIA,-14,-18,-26.30%,-30.60%,14,69,61,0,50%,0,0/0
D.Robinson,KC,-14,-12,-16.90%,-16.40%,39,212,238,0,54%,0,28-Feb
N.Brown,DAL,-14,-14,-29.90%,-29.70%,9,33,47,0,44%,0,29-Jan
L.Treadwell,MIN,-15,-12,-18.20%,-16.90%,35,200,203,0,57%,1,Feb-34
S.Coates,CLE,-16,-18,-32.50%,-34.80%,11,70,43,0,55%,0,0/0
C.Hansen,NYJ,-17,-18,-26.30%,-27.50%,17,94,76,0,53%,0,0/0
K.Britt,2TM,-20,-23,-19.00%,-19.70%,43,256,232,2,47%,0,10-Jan
K.Williams,CLE,-21,-10,-25.10%,-18.90%,18,84,105,0,50%,0,Mar-43
W.Snead,NO,-23,-22,-31.00%,-30.60%,16,92,67,0,50%,0,0/0
E.Rogers,PIT,-28,-23,-22.30%,-20.60%,36,154,195,1,50%,0,Feb-30
M.Floyd,MIN,-30,-26,-36.40%,-32.80%,17,78,59,0,59%,0,0/0
J.Malone,CIN,-30,-30,-36.90%,-36.70%,17,63,57,1,35%,0,0/0
B.Miller,HOU,-31,-36,-26.90%,-29.30%,29,162,132,1,66%,0,0/0
B.Marshall,NYG,-33,-37,-24.90%,-26.40%,33,154,172,0,55%,0,0/0
J.Reynolds,LARM,-35,-43,-31.00%,-34.90%,24,104,104,1,46%,0,0/0
B.Treggs,CLE,-36,-37,-40.30%,-41.40%,18,79,52,0,28%,0,0/0
M.Clark,GB,-37,-48,-46.60%,-56.30%,14,41,34,0,29%,0,0/0
A.Stewart,NYJ,-37,-39,-45.40%,-46.80%,15,85,37,0,53%,0,0/0
R.Shepard,CAR,-38,-40,-27.90%,-28.80%,32,202,146,1,53%,1,3-Jan
A.Robinson,SF,-43,-59,-24.50%,-28.90%,48,260,231,2,40%,0,0/0
K.Clay,2TM,-45,-43,-43.50%,-41.90%,20,85,52,0,30%,0,0/0
T.Rudolph,NYG,-49,-49,-43.20%,-43.00%,21,101,58,0,38%,0,0/0
I.McKenzie,DEN,-50,-50,-66.80%,-66.80%,13,29,1,0,31%,0,0/0
P.Cooper,LARM,-53,-51,-49.20%,-47.80%,19,84,40,0,58%,0,7-Jan
M.Wheaton,CHI,-66,-68,-66.20%,-67.60%,17,51,3,0,18%,0,0/0
T.Austin,LARM,-99,-98,-68.20%,-67.90%,24,56,-1,0,63%,0,0/0
K.Aiken,IND,-144,-150,-55.80%,-57.40%,44,133,60,0,34%,0,0/0
B.Perriman,BAL,-158,-150,-71.80%,-68.60%,35,77,-16,0,29%,0,0/0
