Player,Team,Salary Cap Value,Cash Spent
Darren Sproles\SproDa00,Eagles,1330000,1330000
T.J. Yeldon\YeldT.00,Bills,1300000,1550000
Kenyan Drake\DrakKe00,Cardinals,1072059,1072059
Alvin Kamara*\KamaAl00,Saints,1050693,807500
Derrius Guice\GuicDe00,Redskins,1032258,686452
Miles Sanders\SandMi01,Eagles,974587,2413348
C.J. Prosise\ProsC.00,Seahawks,918116,745000
Royce Freeman\FreeRo00,Broncos,910255,661000
James Conner\ConnJa00,Steelers,844572,668000
Devontae Booker\BookDe00,Broncos,815848,720000
Tarik Cohen\CoheTa00,Bears,803289,645000
DeAndre Washington\WashDe00,Raiders,787299,720000
Jamaal Williams\WillJa06,Packers,786498,645000
Darrell Henderson\HendDa00,Rams,767664,1585656
David Montgomery\MontDa01,Bears,756545,1541180
Devin Singletary\SingDe00,Bills,753956,1530824
Nyheim Hines\HineNy00,Colts,751137,570000
Wayne Gallman\GallWa00,Giants,749912,645000
Marlon Mack\MackMa00,Colts,749912,645000
Ty Montgomery\MontTy01,Jets,735000,895000
Taiwan Jones\JoneTa00,Texans,735000,1020000
Kenjon Barner\BarnKe00,Falcons,735000,895000
Bilal Powell\PoweBi00,Jets,735000,1020000
Ameer Abdullah\AbduAm00,Vikings,735000,810000
Anthony Sherman\SherAn00,Chiefs,735000,1020000
Ito Smith\SmitIt00,Falcons,725218,570000
Dwayne Washington\WashDw00,Saints,720000,720000
Wendell Smallwood\SmalWe00,Redskins,720000,720000
Jonathan Williams\WillJo07,Colts,720000,720000
Damien Harris\HarrDa06,Patriots,716534,1381136
Alexander Mattison\MattAl01,Vikings,700545,1317180
Aaron Jones\JoneAa00,Packers,695487,645000
Chase Edmonds\EdmoCh00,Cardinals,683089,570000
Justice Hill\HillJu00,Ravens,680414,1236656
Kalen Ballage\BallKa00,Dolphins,675648,528353
Kareem Hunt\HuntKa00,Browns,671470,596471
Benny Snell\SnelBe00,Steelers,670517,1197068
Tony Pollard\PollTo00,Cowboys,662582,1165328
Chris Carson\CarsCh00,Seahawks,661285,645000
Matt Breida\BreiMa00,49ers,646668,645000
Austin Ekeler\EkelAu00,Chargers,646668,645000
C.J. Ham*\HamxC.00,Vikings,645000,645000
Brian Hill\HillBr02,Falcons,645000,645000
Troymaine Pope\PopeTr00,Chargers,645000,645000
Elijhaa Penny\PennEl00,Giants,645000,645000
T.J. Logan\LogaT.00,Buccaneers,645000,645000
Jordan Wilkins\WilkJo01,Colts,630310,570000
Ryquell Armstead\ArmsRy00,Jaguars,581769,842076
Phillip Lindsay\LindPh00,Broncos,575000,570000
Qadree Ollison\OlliQa00,Falcons,572891,806564
Mike Boone\BoonMi00,Vikings,572500,570000
Buddy Howell\HoweGr00,Texans,570000,570000
Gus Edwards\EdwaGu00,Ravens,570000,570000
Justin Jackson\JackJu01,Chargers,570000,570000
Dontrell Hilliard\HillDo00,Browns,559588,559588
Jordan Scarlett\ScarJo00,Panthers,538238,771188
Ty Johnson\JohnTy02,Lions,538139,667556
Dexter Williams\WillDe07,Packers,536514,661056
Jeff Wilson\WilsJe01,49ers,536471,536471
Darrel Williams\WillDa10,Chiefs,533353,528353
Travis Homer\HomeTr00,Seahawks,530840,638360
Darwin Thompson\ThomDa06,Chiefs,526960,622840
Myles Gaskin\GaskMy00,Dolphins,509895,575226
Senorise Perry\PerrSe00,Bills,508235,508235
Alec Ingold\IngoAl01,Raiders,498333,505000
Patrick Laird\LairPa00,Dolphins,498000,504000
Reggie Bonnafon\BonnRe00,Panthers,495000,495000
Dare Ogunbowale\OgunDa00,Buccaneers,495000,495000
Devine Ozigbo\OzigDe01,Jaguars,495000,495000
D'Ernest Johnson\JohnDE04,Browns,495000,495000
Javorius Allen\AlleJa01,Giants,417353,520882
Mike Davis\DaviMi01,Panthers,411765,411765
Boston Scott\ScotBo02,Eagles,402353,402353
De'Lance Turner\TurnDe01,Dolphins,268235,268235
Josh Adams\AdamJo03,Jets,268235,268235
Ryan Nall\NallRy00,Bears,232941,232941
Bo Scarbrough\ScarBo01,Lions,203824,203824
Kerrith Whyte\WhytKe00,Steelers,203824,203824
Tyler Ervin\ErviTy00,Packers,169412,169412
Josh Ferguson\FergJo02,Redskins,113824,113824
Jon Hilliman\HillJo03,Giants,88000,88000
