Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
89,Giovani Bernard\BernGi00,CIN,26,rb,16,2,60,43,71.70%,389,9,2,61,6.5,2.7,24.3,0
90,Vernon Davis\DaviVe00,WAS,33,TE/wr,16,16,69,43,62.30%,648,15.1,3,69,9.4,2.7,40.5,2
91,Jesse James\JameJe00,PIT,23,TE,16,14,63,43,68.30%,372,8.7,3,32,5.9,2.7,23.3,0
92,George Kittle\KittGe00,SFO,24,te,15,7,63,43,68.30%,515,12,2,44,8.2,2.9,34.3,0
93,Seth Roberts\RobeSe00,OAK,26,wr,15,7,65,43,66.20%,455,10.6,1,29,7,2.9,30.3,2
94,Trent Taylor\TaylTr02,SFO,23,wr,15,1,60,43,71.70%,430,10,2,33,7.2,2.9,28.7,1
95,Tyrell Williams\WillTy00,LAC,25,WR,16,15,69,43,62.30%,728,16.9,4,75,10.6,2.7,45.5,1
96,Keelan Cole\ColeKe00,JAX,24,wr,16,6,83,42,50.60%,748,17.8,3,75,9,2.6,46.8,2
97,Tyler Kroft\KrofTy00,CIN,25,TE,16,16,62,42,67.70%,404,9.6,7,59,6.5,2.6,25.3,0
98,Albert Wilson\WilsAl02,KAN,25,wr,13,7,62,42,67.70%,554,13.2,3,63,8.9,3.2,42.6,0
99,Julius Thomas\ThomJu00,MIA,29,TE,14,13,62,41,66.10%,388,9.5,3,27,6.3,2.9,27.7,1
100,Pierre Garcon\GarcPi00,SFO,31,WR,8,8,67,40,59.70%,500,12.5,0,59,7.5,5,62.5,0
101,Jeremy Maclin\MaclJe00,BAL,29,WR,12,12,72,40,55.60%,440,11,3,48,6.1,3.3,36.7,0
102,Andre Ellington\ElliAn00,2TM,28,,12,2,59,39,66.10%,369,9.5,0,29,6.3,3.3,30.8,0
103,Allen Hurns\HurnAl01,JAX,26,WR,10,8,56,39,69.60%,484,12.4,2,50,8.6,3.9,48.4,0
104,DeMarco Murray\MurrDe00,TEN,29,RB,15,15,47,39,83.00%,266,6.8,1,18,5.7,2.6,17.7,1
105,Chris Thompson\ThomCh03,WAS,27,rb,10,1,54,39,72.20%,510,13.1,4,74,9.4,3.9,51,3
106,Sammy Watkins\WatkSa00,LAR,24,WR,15,14,70,39,55.70%,593,15.2,8,67,8.5,2.6,39.5,0
107,Deonte Thompson\ThomDe04,2TM,28,WR,16,10,69,38,55.10%,555,14.6,2,46,8,2.4,34.7,1
108,Matt Forte\FortMa00,NYJ,32,rb,12,4,45,37,82.20%,293,7.9,1,34,6.5,3.1,24.4,1
109,Cole Beasley\BeasCo00,DAL,28,wr,15,4,63,36,57.10%,314,8.7,4,54,5,2.4,20.9,0
110,Leonard Fournette\FourLe00,JAX,22,RB,13,13,48,36,75.00%,302,8.4,1,28,6.3,2.8,23.2,2
111,Devonta Freeman\FreeDe00,ATL,25,RB,14,14,47,36,76.60%,317,8.8,1,29,6.7,2.6,22.6,4
112,Roger Lewis\LewiRo03,NYG,24,WR,15,8,72,36,50.00%,416,11.6,2,34,5.8,2.4,27.7,0
113,Lamar Miller\MillLa01,HOU,26,RB,16,13,45,36,80.00%,327,9.1,3,32,7.3,2.3,20.4,1
114,Torrey Smith\SmitTo02,PHI,28,WR,16,14,67,36,53.70%,430,11.9,2,59,6.4,2.3,26.9,0
115,Josh Doctson\DoctJo00,WAS,25,WR,16,14,78,35,44.90%,502,14.3,6,52,6.4,2.2,31.4,0
116,Charles Sims\SimsCh00,TAM,27,RB,16,0,47,35,74.50%,249,7.1,1,25,5.3,2.2,15.6,1
117,Travis Benjamin\BenjTr00,LAC,28,wr,16,3,62,34,54.80%,567,16.7,4,62,9.1,2.1,35.4,2
118,Corey Davis\DaviCo03,TEN,22,WR,11,9,65,34,52.30%,375,11,0,37,5.8,3.1,34.1,1
119,Wayne Gallman\GallWa00,NYG,23,rb,13,1,48,34,70.80%,193,5.7,1,11,4,2.6,14.8,3
120,Chris Godwin\GodwCh00,TAM,21,wr,16,2,55,34,61.80%,525,15.4,1,70,9.5,2.1,32.8,0
121,Chris Hogan\HogaCh00,NWE,30,wr,9,7,59,34,57.60%,439,12.9,5,47,7.4,3.8,48.8,0
122,J.D. McKissic\McKiJ.00,SEA,24,rb,13,1,46,34,73.90%,266,7.8,2,27,5.8,2.6,20.5,0
123,DeAndre Washington\WashDe00,OAK,24,,15,0,45,34,75.60%,197,5.8,1,15,4.4,2.3,13.1,2
124,Seth Devalve\DevaSe00,CLE,24,te,16,4,58,33,56.90%,395,12,1,49,6.8,2.1,24.7,1
125,Taylor Gabriel\GabrTa00,ATL,26,wr,16,4,51,33,64.70%,378,11.5,1,40,7.4,2.1,23.6,0
126,Jermaine Gresham\GresJe00,ARI,29,TE,14,14,46,33,71.70%,322,9.8,2,21,7,2.4,23,0
127,Kyle Juszczyk*\JuszKy00,SFO,26,FB,14,10,42,33,78.60%,315,9.5,1,44,7.5,2.4,22.5,2
128,Danny Woodhead\WoodDa02,BAL,32,RB,8,0,39,33,84.60%,200,6.1,0,22,5.1,4.1,25,0
129,Kenyan Drake\DrakKe00,MIA,23,rb,16,6,48,32,66.70%,239,7.5,1,47,5,2,14.9,2
130,Dion Lewis\LewiDi00,NWE,27,RB,16,8,35,32,91.40%,214,6.7,3,20,6.1,2,13.4,0
131,David Njoku\NjokDa00,CLE,21,te,16,5,60,32,53.30%,386,12.1,4,34,6.4,2,24.1,0
132,Jaron Brown\BrowJa03,ARI,27,WR,16,8,69,31,44.90%,477,15.4,4,52,6.9,1.9,29.8,0
133,Cordarrelle Patterson\PattCo00,OAK,26,wr,16,2,42,31,73.80%,309,10,0,59,7.4,1.9,19.3,3
134,Martellus Bennett\BennMa00,2TM,30,TE,9,7,44,30,68.20%,286,9.5,0,33,6.5,3.3,31.8,0
135,Devontae Booker\BookDe00,DEN,25,RB,13,0,38,30,78.90%,275,9.2,0,29,7.2,2.3,21.2,2
136,Rex Burkhead\BurkRe00,NWE,27,rb,10,3,36,30,83.30%,254,8.5,3,23,7.1,3,25.4,1
137,Ed Dickson\DickEd00,CAR,30,TE,16,12,48,30,62.50%,437,14.6,1,64,9.1,1.9,27.3,0
138,Antonio Gates\GateAn00,LAC,37,te,16,4,52,30,57.70%,316,10.5,3,27,6.1,1.9,19.8,0
139,T.J. Jones\JoneT.00,DET,25,wr,14,6,49,30,61.20%,399,13.3,1,34,8.1,2.1,28.5,1
140,Joe Mixon\MixoJo00,CIN,21,rb,14,7,34,30,88.20%,287,9.6,0,67,8.4,2.1,20.5,3
141,T.J. Yeldon\YeldT.00,JAX,24,RB,10,0,41,30,73.20%,224,7.5,0,20,5.5,3,22.4,2
142,Bruce Ellington\ElliBr00,HOU,26,wr,11,6,57,29,50.90%,330,11.4,2,35,5.8,2.6,30,1
143,Bennie Fowler\FowlBe00,DEN,26,wr,16,4,56,29,51.80%,350,12.1,3,29,6.3,1.8,21.9,1
144,Frank Gore\GoreFr00,IND,34,RB,16,16,38,29,76.30%,245,8.4,1,26,6.4,1.8,15.3,3
145,JJ Nelson\NelsJJ00,ARI,25,wr,16,5,61,29,47.50%,508,17.5,2,46,8.3,1.8,31.8,1
146,C.J. Anderson\AndeC.00,DEN,26,RB,16,16,40,28,70.00%,224,8,1,25,5.6,1.8,14,1
147,Nick Boyle\BoylNi00,BAL,24,TE,15,11,37,28,75.70%,203,7.3,0,16,5.5,1.9,13.5,0
148,Isaiah Crowell\CrowIs00,CLE,24,RB,16,16,42,28,66.70%,182,6.5,0,38,4.3,1.8,11.4,1
149,Will Fuller\FullWi01,HOU,23,WR,10,10,50,28,56.00%,423,15.1,7,59,8.5,2.8,42.3,0
150,Kenny Golladay\GollKe00,DET,24,k/wr,11,5,48,28,58.30%,477,17,3,54,9.9,2.5,43.4,0
151,Tevin Coleman\ColeTe01,ATL,24,fb/rb,15,3,39,27,69.20%,299,11.1,3,39,7.7,1.8,19.9,1
152,Austin Ekeler\EkelAu00,LAC,22,RB,16,0,35,27,77.10%,279,10.3,3,38,8,1.7,17.4,2
153,Rashard Higgins\HiggRa00,CLE,23,fb/wr,15,4,50,27,54.00%,312,11.6,2,56,6.2,1.8,20.8,1
154,Zay Jones\JoneZa00,BUF,22,WR,15,10,74,27,36.50%,316,11.7,2,33,4.3,1.8,21.1,0
155,Ricardo Louis\LouiRi00,CLE,23,WR,16,9,61,27,44.30%,357,13.2,0,37,5.9,1.7,22.3,0
156,Jordan Reed\ReedJo02,WAS,27,te,6,5,35,27,77.10%,211,7.8,2,20,6,4.5,35.2,1
157,Jalen Richard\RichJa01,OAK,24,rb,16,1,36,27,75.00%,256,9.5,1,39,7.1,1.7,16,8
158,Charcandrick West\WestCh01,KAN,26,RB,13,0,34,27,79.40%,150,5.6,2,25,4.4,2.1,11.5,1
159,Dede Westbrook\WestDe00,JAX,24,wr,7,5,51,27,52.90%,339,12.6,1,29,6.6,3.9,48.4,1
160,Ezekiel Elliott\ElliEz00,DAL,22,RB,10,10,38,26,68.40%,269,10.3,2,72,7.1,2.6,26.9,1
161,O.J. Howard\HowaO.00,TAM,23,TE,14,14,39,26,66.70%,432,16.6,6,58,11.1,1.9,30.9,3
162,Donte Moncrief\MoncDo00,IND,24,WR,12,8,47,26,55.30%,391,15,2,60,8.3,2.2,32.6,0
163,Ameer Abdullah\AbduAm00,DET,24,RB,14,11,35,25,71.40%,162,6.5,1,22,4.6,1.8,11.6,2
164,Stephen Anderson\AndeSt01,HOU,24,te,15,5,52,25,48.10%,342,13.7,1,42,6.6,1.7,22.8,0
