Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
Jordan Howard\HowaJo00,CHI,-28,24,-11.20%,-6.40%,250,935,891,9,2
Doug Martin\MartDo00,OAK,-29,18,-12.50%,-6.10%,172,725,598,4,3
Dalvin Cook\CookDa01,MIN,-29,-28,-14.10%,-13.90%,133,616,408,2,2
Peyton Barber\BarbPe01,TB,-40,-84,-12.70%,-17.30%,234,871,768,6,1
David Johnson\JohnDa08,ARI,-46,-2,-13.10%,-8.70%,258,940,815,7,2
Dion Lewis\LewiDi00,TEN,-70,-130,-20.40%,-30.50%,155,517,399,1,1
Alfred Blue\BlueAl00,HOU,-94,-99,-23.20%,-23.90%,150,499,403,2,0
Alfred Morris\MorrAl00,SF,-102,-60,-30.50%,-21.50%,111,429,236,2,2
LeSean McCoy\McCoLe01,BUF,-108,-119,-26.10%,-27.90%,161,514,355,3,0
LeGarrette Blount\BlouLe00,DET,-126,-142,-28.10%,-30.50%,154,418,353,5,1
C.J. Anderson\AndeC.00,2TM,138,135,40.10%,38.90%,67,403,468,2,0
Damien Williams\WillDa05,KC,79,66,26.50%,20.60%,50,257,323,4,1
Zach Zenner\ZennZa00,DET,69,76,19.60%,22.50%,55,265,323,3,0
Jordan Wilkins\WilkJo01,IND,61,58,14.90%,13.70%,60,336,324,1,0
Kapri Bibbs\BibbKa00,2TM,58,49,50.70%,41.70%,21,103,178,3,0
Rashaad Penny\PennRa00,SEA,55,52,8.60%,7.80%,85,419,365,2,0
James White\WhitJa02,NE,42,40,1.70%,1.20%,94,425,421,5,0
Wendell Smallwood\SmalWe00,PHI,41,52,3.00%,6.40%,87,364,368,3,1
Raheem Mostert\MostRa00,SF,40,60,19.40%,33.00%,34,261,189,1,1
Kenneth Dixon\DixoKe00,BAL,38,57,8.10%,16.30%,60,337,260,2,2
Spencer Ware\WareSp00,KC,38,32,9.00%,6.00%,51,246,249,2,0
Marcus Murphy\MurpMa03,BUF,36,30,10.70%,7.70%,52,250,219,0,0
Malcolm Brown\BrowMa03,LAR,34,37,8.70%,10.40%,43,212,222,0,0
Wayne Gallman\GallWa00,NYG,29,11,7.00%,-2.90%,51,176,209,1,0
Devontae Booker\BookDe00,DEN,27,43,9.50%,19.70%,34,183,174,1,0
Marshawn Lynch\LyncMa00,OAK,25,51,-2.20%,4.30%,90,376,381,3,0
Duke Johnson\JohnDu00,CLE,24,21,7.20%,5.20%,40,201,167,0,0
Darren Sproles\SproDa00,PHI,19,19,8.40%,7.80%,29,120,128,1,0
Jaylen Samuels\SamuJa00,PIT,17,15,-1.20%,-2.30%,56,256,231,0,0
Giovani Bernard\BernGi00,CIN,16,18,-1.50%,-0.80%,56,211,224,3,0
Ty Montgomery\MontTy01,2TM,16,25,0.60%,5.70%,42,188,176,1,1
Kalen Ballage\BallKa00,MIA,16,0,1.10%,-8.60%,36,186,168,1,1
Dwayne Washington\WashDw00,NO,12,17,3.20%,8.20%,27,154,109,0,0
Justin Jackson\JackJu01,LAC,6,38,-6.00%,9.00%,50,206,198,2,0
Theo Riddick\RiddTh00,DET,5,12,-4.70%,0.30%,40,171,130,0,0
Rex Burkhead\BurkRe00,NE,1,-43,-8.10%,-27.30%,57,186,200,0,1
Jacquizz Rodgers\RodgJa00,TB,0,-7,-8.40%,-14.50%,33,106,104,1,0
Brian Hill\HillBr02,ATL,-2,10,-10.70%,4.70%,20,157,61,0,1
Jeff Wilson\WilsJe01,SF,-2,-20,-9.30%,-16.10%,66,266,232,0,3
Keith Ford\FordKe00,BUF,-6,-2,-14.80%,-11.10%,21,79,68,0,0
Rod Smith\SmitRo06,DAL,-8,-24,-12.80%,-20.90%,44,127,157,1,0
Trenton Cannon\CannTr00,NYJ,-9,-32,-14.50%,-28.40%,38,113,121,1,0
Nyheim Hines\HineNy00,IND,-12,-16,-11.90%,-12.90%,85,313,304,2,1
Ronald Jones\JoneRo01,TB,-15,-24,-24.30%,-34.20%,23,44,57,1,0
Javorius Allen\AlleJa01,BAL,-16,-19,-16.30%,-18.10%,41,113,148,3,0
DeAndre Washington\WashDe00,OAK,-16,-5,-20.00%,-12.10%,29,111,95,0,1
John Kelly\KellJo00,LAR,-17,-23,-24.50%,-29.60%,27,74,65,0,0
Tarik Cohen*+\CoheTa00,CHI,-18,0,-13.10%,-8.60%,99,445,312,3,2
Ito Smith\SmitIt00,ATL,-18,-12,-13.40%,-11.70%,90,318,302,4,1
Jay Ajayi\AjayJa00,PHI,-19,5,-17.80%,-6.10%,45,184,145,3,1
Chase Edmonds\EdmoCh00,ARI,-27,-11,-19.00%,-13.00%,60,208,181,2,1
Jalen Richard\RichJa01,OAK,-28,-7,-20.50%,-11.40%,55,259,159,1,2
Corey Clement\ClemCo00,PHI,-32,-29,-20.00%,-18.90%,68,259,187,2,2
Bilal Powell\PoweBi00,NYJ,-34,-33,-19.80%,-19.70%,80,343,203,0,2
Chris Thompson\ThomCh03,WAS,-35,-45,-30.60%,-37.10%,43,178,79,0,1
Stevan Ridley\RidlSt00,PIT,-44,-40,-47.90%,-43.80%,29,80,25,1,1
Elijah McGuire\McGuEl00,NYJ,-90,-105,-32.10%,-36.10%,92,276,183,3,2
