Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Charcandrick West\WestCh01,KC,-13,-23,-20.40%,-25.40%,34,214,116,1,59%,0
C.J. Anderson\AndeC.00,DEN,-23,-18,-27.80%,-24.80%,36,183,75,0,69%,0
Shaun Draughn\DrauSh00,2TM,-25,-12,-27.30%,-20.40%,35,176,80,0,77%,0
Chris Polk\PolkCh00,HOU,-26,-30,-30.10%,-32.60%,28,109,61,1,57%,0
Latavius Murray*\MurrLa00,OAK,-47,-48,-30.60%,-30.90%,53,238,104,0,77%,1
Darren Sproles*\SproDa00,PHI,-50,-71,-24.90%,-29.60%,83,388,219,1,66%,1
Frank Gore\GoreFr00,IND,-60,-44,-32.10%,-27.30%,58,267,112,1,59%,0
Justin Forsett\ForsJu00,BAL,-64,-63,-42.60%,-42.10%,41,153,27,0,76%,0
Ronnie Hillman\HillRo00,DEN,-89,-88,-59.00%,-58.20%,35,111,-43,0,69%,1
Travaris Cadet\CadeTr00,3TM,78,94,51.60%,64.80%,22,214,246,1,77%,0
Mike Tolbert*+\TolbMi00,CAR,56,66,25.30%,32.40%,23,154,216,3,78%,0
Patrick DiMarco*\DiMaPa00,ATL,55,61,31.20%,36.50%,17,110,199,2,76%,0
Tim Hightower\HighTi00,NO,51,53,56.50%,60.20%,13,129,156,0,92%,0
Lance Dunbar\DunbLa00,DAL,45,66,23.10%,40.90%,23,215,178,0,91%,0
Ahmad Bradshaw\BradAh00,IND,43,44,34.40%,35.70%,14,64,153,3,71%,0
Branden Oliver\OlivBr01,SD,39,34,37.40%,30.20%,15,112,137,0,87%,0
Bruce Miller\MillBr02,SF,38,35,25.60%,22.30%,14,135,148,0,71%,0
Isaiah Crowell\CrowIs00,CLE,37,44,17.90%,23.70%,22,182,161,1,86%,0
Joseph Randle\RandJo01,DAL,36,37,41.00%,42.10%,10,86,121,0,100%,0
Alfred Blue\BlueAl00,HOU,31,33,26.10%,28.70%,16,109,114,1,94%,0
Roy Helu\HeluRo00,OAK,30,14,18.20%,1.30%,16,75,127,1,56%,0
Jamize Olawale\OlawJa00,OAK,28,26,28.50%,25.00%,11,84,106,0,82%,0
Jay Ajayi\AjayJa00,MIA,28,27,38.10%,36.30%,11,90,97,0,64%,0
Andre Ellington\ElliAn00,ARI,27,24,3.70%,1.60%,24,148,167,0,63%,0
Bishop Sankey\SankBi00,TEN,26,25,6.40%,5.40%,23,139,148,1,61%,0
DuJuan Harris\HarrDu01,SF,21,17,12.10%,7.90%,14,97,100,0,64%,0
Kendall Gaskins\GaskKe00,SF,21,25,24.10%,31.70%,10,69,81,0,80%,0
Pierre Thomas\ThomPi00,WAS,18,25,26.60%,43.00%,11,84,69,0,82%,0
Rex Burkhead\BurkRe00,CIN,13,20,0.90%,8.20%,15,94,90,1,67%,0
Thomas Rawls\RawlTh00,SEA,13,20,5.80%,17.70%,11,76,72,1,82%,0
Karlos Williams\WillKa01,BUF,11,0,-2.00%,-14.20%,14,96,86,2,79%,1
Jonathan Stewart*\StewJo00,CAR,10,17,-5.40%,-0.20%,21,99,108,1,76%,0
Dan Herron\HerrDa00,2TM,7,6,-0.60%,-1.40%,10,47,49,0,90%,0
Jeremy Hill\HillJe01,CIN,0,-3,-13.40%,-17.10%,19,79,74,1,79%,0
Khiry Robinson\RobiKh00,NO,-1,2,-14.70%,-11.50%,20,115,73,0,85%,0
Zac Stacy\StacZa00,NYJ,-3,9,-18.60%,2.40%,12,65,36,0,75%,0
Matt Asiata\AsiaMa00,MIN,-6,5,-19.50%,-9.30%,22,132,59,0,86%,0
Donald Brown\BrowDo00,SD,-7,-15,-24.80%,-35.60%,13,88,33,0,62%,1
John Kuhn*\KuhnJo00,GB,-9,-5,-27.10%,-21.30%,10,56,30,0,60%,0
Alfred Morris\MorrAl00,WAS,-10,-8,-27.60%,-24.10%,13,55,32,0,77%,0
Terron Ward\WardTe00,ATL,-11,-16,-33.40%,-42.90%,13,73,17,0,69%,0
Carlos Hyde\HydeCa00,SF,-18,-26,-33.90%,-43.50%,15,53,27,0,73%,0
Tre Mason\MasoTr00,STL,-18,-25,-31.50%,-38.00%,21,88,37,0,86%,0
Fozzy Whittaker\WhitFo00,CAR,-21,-12,-42.50%,-30.10%,15,64,9,0,80%,0
Chris Johnson\JohnCh04,ARI,-23,-23,-47.00%,-47.60%,13,58,2,0,46%,0
Marshawn Lynch\LyncMa00,SEA,-24,-27,-34.60%,-36.40%,21,80,34,0,62%,0
Akeem Hunt\HuntAk01,HOU,-27,-24,-60.10%,-54.50%,10,39,-14,0,60%,0
Reggie Bush\BushRe00,SF,-30,-40,-64.20%,-81.70%,10,19,-19,0,40%,0
Robert Turbin\TurbRo00,2TM,-31,-36,-89.20%,-101.10%,10,23,-34,0,70%,0
Kenjon Barner\BarnKe00,PHI,-36,-40,-65.60%,-70.90%,12,22,-25,0,75%,0
Mike Davis\DaviMi01,SF,-41,-39,-62.70%,-60.30%,13,38,-25,0,54%,0
Tevin Coleman\ColeTe01,ATL,-46,-44,-99.50%,-96.00%,11,14,-57,0,18%,0
