Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
Carson Wentz\WentCa00,PHI,549,576,8.20%,9.20%,64.2,430,"2,851","3,021",21,1,6,7,70.10%,5/106,0
Ryan Fitzpatrick\FitzRy00,TB,473,461,16.80%,16.10%,63.7,260,"2,283","2,005",17,2,1,12,66.70%,Feb-34,1.9
Jameis Winston\WinsJa00,TB,453,469,6.20%,6.80%,68.6,406,"2,821","2,704",19,1,3,13,64.70%,6/126,3.2
Joe Flacco\FlacJo00,BAL,432,332,5.50%,1.60%,57.4,392,"2,380","2,679",12,1,1,6,61.70%,8/159,1.7
Mitchell Trubisky\TrubMi00,CHI,418,510,2.50%,5.50%,72.8,458,"3,074","3,027",24,3,3,12,66.70%,10/197,2.5
Andy Dalton\DaltAn00,CIN,405,408,5.20%,5.30%,61.9,383,"2,405","2,544",21,1,0,10,62.40%,Jun-95,1.1
Matthew Stafford\StafMa00,DET,402,278,-0.60%,-3.90%,54,594,"3,521","3,628",21,2,3,11,66.20%,10/221,1.3
Derek Carr\CarrDe02,OAK,398,285,-0.90%,-3.80%,48.9,598,"3,734","3,647",19,5,7,10,69.80%,May-59,0.3
Eli Manning\MannEl00,NYG,344,342,-2.30%,-2.40%,51.8,622,"3,946","3,615",21,2,4,11,66.10%,9/164,-0.5
Cam Newton\NewtCa00,CAR,322,410,-1.40%,1.20%,55.9,497,"3,159","3,097",24,3,0,13,68.70%,Jun-71,1.1
Nick Mullens\MullNi00,SF,286,234,4.20%,1.40%,54.9,287,"2,151","1,893",13,1,0,10,65.20%,May-40,0.1
Dak Prescott\PresDa01,DAL,112,256,-8.10%,-4.10%,57.8,582,"3,532","3,098",22,1,5,8,67.70%,Apr-54,-1
Nick Foles\FoleNi00,PHI,74,144,-5.40%,-0.10%,67.4,202,"1,370","1,155",7,0,2,4,73.10%,Mar-32,-0.4
Marcus Mariota\MariMa01,TEN,67,20,-8.40%,-10.30%,55.5,373,"2,289","2,038",11,4,1,8,68.90%,7/117,1.6
Alex Smith\SmitAl03,WAS,-52,97,-13.50%,-6.80%,49.3,350,"2,033","1,724",10,4,1,5,63.30%,Apr-77,0.3
Case Keenum\KeenCa00,DEN,-60,-37,-12.70%,-12.10%,46.9,620,"3,634","3,131",18,6,2,14,62.60%,Jul-88,0
Sam Darnold\DarnSa00,NYJ,-109,-137,-15.10%,-16.10%,48.4,445,"2,653","2,063",17,2,1,15,57.90%,5-Jan,1.1
Ryan Tannehill\TannRy00,MIA,-185,-250,-20.70%,-24.10%,35,309,"1,694","1,303",17,1,4,9,64.50%,Mar-44,0.9
Blake Bortles\BortBl00,JAX,-220,-175,-18.90%,-17.30%,45.7,435,"2,549","1,987",13,4,2,10,60.30%,0/0,0.2
Josh Allen\AlleJo02,BUF,-534,-475,-35.90%,-33.20%,52,350,"1,840","1,007",10,4,1,11,53.00%,6/150,3.6
Josh Rosen\RoseJo01,ARI,"-1,122","-1,049",-53.00%,-50.20%,26.1,438,"1,949",633,11,4,5,14,55.50%,May-70,-0.8
Kyle Allen\AlleKy00,CAR,158,170,67.40%,73.70%,95.7,31,266,376,2,0,0,0,64.50%,Feb-69,4.2
Matt Barkley\BarkMa00,BUF,109,111,56.00%,57.50%,87,26,224,278,2,0,0,0,60.00%,0/0,4.4
Mike Glennon\GlenMi00,ARI,73,79,45.30%,49.60%,76.4,22,166,194,1,0,0,0,71.40%,0/0,-8.3
Lamar Jackson\JackLa00,BAL,24,70,-9.20%,-5.40%,45.2,186,"1,119","1,020",6,0,2,3,58.60%,Apr-54,0.1
Jimmy Garoppolo\GaroJi00,SF,-10,-20,-12.60%,-14.10%,29.9,102,620,517,5,2,0,3,59.60%,Mar-53,-1.9
Teddy Bridgewater\BridTe00,NO,-46,-40,-39.70%,-36.00%,33.6,25,110,67,1,0,0,1,60.90%,0/0,1
Jeff Driskel\DrisJe00,CIN,-59,-108,-16.20%,-20.40%,31.6,193,872,853,6,2,1,2,59.70%,Mar-54,-2.4
Brock Osweiler\OsweBr00,MIA,-85,-49,-17.70%,-14.90%,37.5,195,"1,112",926,7,0,1,4,63.80%,3-Jan,1.4
Joshua Dobbs\DobbJo00,PIT,-85,-74,-124.10%,-109.30%,53.8,12,43,-55,0,0,0,1,50.00%,0/0,-3.3
Josh Johnson\JohnJo05,WAS,-87,-110,-25.80%,-29.60%,50.1,100,520,360,3,2,0,3,57.10%,0/0,1.4
Matt Cassel\CassMa00,DET,-96,-106,-90.70%,-99.60%,10.5,18,46,-33,0,0,0,1,41.20%,0/0,-0.3
Colt McCoy\McCoCo00,WAS,-116,-113,-40.30%,-39.40%,41.5,58,338,163,3,1,0,3,65.40%,13-Jan,3.7
Taylor Heinicke\HeinTa00,CAR,-139,-111,-49.00%,-41.40%,19.9,58,303,107,1,0,0,3,62.50%,0/0,4.1
Chase Daniel\DaniCh00,CHI,-152,-86,-37.90%,-26.30%,29.6,87,462,250,3,3,0,2,69.70%,21-Feb,-3.9
Blaine Gabbert\GabbBl00,TEN,-154,-102,-35.40%,-27.20%,28.4,106,576,306,4,0,0,4,61.00%,0/0,0.3
C.J. Beathard\BeatC.00,SF,-158,-187,-24.50%,-26.90%,43.3,188,"1,101",738,8,1,3,7,60.40%,6-Jan,-1.1
Josh McCown\McCoJo01,NYJ,-184,-222,-36.50%,-41.80%,35.2,116,504,334,1,0,0,4,55.00%,0/0,5.3
Derek Anderson\AndeDe00,BUF,-208,-180,-56.80%,-50.60%,26.9,75,438,84,0,0,2,4,60.00%,0/0,1.3
Sam Bradford\BradSa00,ARI,-213,-268,-50.80%,-61.00%,30.3,86,366,142,2,1,2,4,62.50%,0/0,2.2
DeShone Kizer\KizeDe00,GB,-262,-233,-102.80%,-92.70%,28.2,45,152,-126,0,0,1,2,48.80%,0/0,3.5
Tyrod Taylor\TaylTy00,CLE,-264,-257,-53.50%,-52.50%,29.1,97,382,143,2,1,0,2,50.60%,Feb-34,0.5
Mark Sanchez\SancMa00,WAS,-300,-297,-154.60%,-153.40%,5,42,96,-240,0,1,0,3,54.30%,0/0,-0.7
Nathan Peterman\PeteNa00,BUF,-380,-500,-85.20%,-108.50%,9.3,88,252,-103,1,0,0,7,55.00%,18-Feb,-1.2
Cody Kessler\KessCo00,JAX,-457,-392,-59.60%,-52.70%,27.4,153,555,131,2,2,3,2,64.90%,15-Jan,0
