Player,Team,Salary Cap Value,Cash Spent
Andy Jones\JoneAn01,Lions,228529,228529
Keith Kirkwood\KirkKe00,Saints,225882,225882
Robert Foster\FostRo01,Bills,225882,225882
DeAndre Carter\CartDe02,Texans,225882,225882
Auden Tate\TateAu00,Bengals,225882,225882
Quadree Henderson,Giants,191470,191470
Keon Hatcher\HatcKe00,Raiders,169412,169412
Gehrig Dieter\DietGe00,Chiefs,169412,169412
Bobo Wilson,Buccaneers,163235,163235
Isaiah Ford,Dolphins,141176,141176
Tim White\WhitTi00,Ravens,132000,132000
Jeff Badet,Vikings,129200,129200
Andre Patton,Chargers,129200,129200
Josh Crockett,Chiefs,129200,129200
Jester Weah,Texans,129200,129200
Levonte Whitfield,Bengals,129200,129200
Moritz Boehringer,Bengals,129200,129200
Tanner Gentry,Bears,129200,129200
Devin Gray,Falcons,129200,129200
Caleb Scott,Seahawks,129200,129200
Tevin Jones,Steelers,129200,129200
Trey Griffey,Steelers,129200,129200
Riley McCarron,Patriots,121600,121600
Dorren Miller,Eagles,121600,121600
Braxton Miller,Eagles,121600,121600
Isaac Whitney,Texans,114000,114000
Da'Mari Scott,Bills,112941,112941
Mose Frazier,Panthers,112941,112941
Daurice Fountain,Colts,112941,112941
Jalen Tolliver\TollJa00,Cardinals,112941,112941
Dylan Cantrell,Chargers,112941,112941
Janarion Grant,Ravens,106400,106400
Herb Waters,Steelers,98800,98800
Roger Lewis,Titans,91200,91200
Malcolm Lewis,Dolphins,91200,91200
Travis Rudolph,Dolphins,91200,91200
Darren Andrews,Patriots,86666,90000
Simmie Cobbs Jr.,Saints,84706,84706
Krishawn Hogan,Colts,83600,83600
Shane Wynn,Saints,83600,83600
Devin Ross,Titans,83600,83600
Austin Proehl,Rams,76000,76000
Pharoh Cooper,Cardinals,74118,74118
Reggie Davis,Cowboys,68400,68400
Victor Bolden\BoldVi00,Bills,65294,65294
Damoun Patterson,Patriots,60800,60800
Cam Phillips\PhilCa01,Bills,60800,60800
Bernard Reedy,Buccaneers,60800,60800
Chris Lacy,Lions,56471,56471
Darvin Kidsy\KidsDa00,Redskins,56471,56471
Allen Lazard\LazaAl00,Packers,56471,56471
Steve Ishmael,Colts,53200,53200
Chad Hansen,Broncos,53200,53200
Teo Redding,Packers,45600,45600
Saeed Blacknall,Raiders,45600,45600
Montay Crockett,Cardinals,45600,45600
Johnny Holton,Raiders,38000,38000
Francis Owusu,Dolphins,38000,38000
Cyril Grayson,Bears,38000,38000
Keenan Reynolds,Seahawks,38000,38000
Max McCaffrey,49ers,32647,32647
Hunter Sharp,Bengals,32647,32647
Justice Liggins,Chargers,30400,30400
Daniel Williams,Browns,30400,30400
DeAndrew White,Panthers,30400,30400
K.J. Brent,Buccaneers,30400,30400
Steven Mitchell,Texans,28235,28235
J.J. Jones,Jets,28235,28235
Alonzo Russell,Giants,28235,28235
Blake Jackson,Browns,28235,28235
Malachi Dupre,Cardinals,28235,28235
Steven Dunbar,49ers,28235,28235
Shay Fields,Broncos,22800,22800
Marcus Lucas,49ers,22800,22800
