Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM,,,,,,,,,,,,,,,,,
Terrance West\WestTe00,2TM,-22,-35,-17.20%,-22.10%,62,231,187,0,2,,,,,,,,,,,,,,,,,
Shaun Draughn\DrauSh00,2TM,-24,-27,-16.80%,-17.70%,78,273,213,1,1,,,,,,,,,,,,,,,,,
Theo Riddick\RiddTh00,DET,-29,-19,-24.50%,-19.20%,43,133,110,0,1,,,,,,,,,,,,,,,,,
C.J. Spiller\SpilC.00,NO,-29,-24,-28.50%,-24.90%,36,112,80,0,1,,,,,,,,,,,,,,,,,
Chris Polk\PolkCh00,HOU,-31,-21,-17.00%,-14.30%,99,334,265,1,0,,,,,,,,,,,,,,,,,
Ahmad Bradshaw\BradAh00,IND,-38,-35,-36.00%,-33.70%,31,85,57,0,0,,,,,,,,,,,,,,,,,
Brandon Bolden\BoldBr00,NE,-40,-52,-24.30%,-28.90%,63,207,155,0,0,,,,,,,,,,,,,,,,,
Denard Robinson\RobiDe00,JAC,-43,-38,-24.40%,-22.70%,67,265,164,1,3,,,,,,,,,,,,,,,,,
Toby Gerhart\GerhTo00,JAC,-47,-38,-50.80%,-42.70%,20,44,20,0,0,,,,,,,,,,,,,,,,,
Arian Foster\FostAr00,HOU,-51,-55,-29.70%,-31.10%,63,165,126,1,2,,,,,,,,,,,,,,,,,
Stevan Ridley\RidlSt00,NYJ,-51,-36,-45.50%,-34.40%,36,90,36,0,0,,,,,,,,,,,,,,,,,
Andre Williams\WillAn00,NYG,-83,-64,-30.90%,-25.70%,88,257,186,1,0,,,,,,,,,,,,,,,,,
Tre Mason\MasoTr00,STL,-99,-90,-41.70%,-38.80%,75,209,97,1,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
