Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
153,Russell Okung\OkunRu20,2018,31,6-Jan,LAC,NFL,15,15,1,0,0,9
154,Patrick Peterson\PetePa00,2018,28,5-Jan,ARI,NFL,16,16,1,1,0,9
155,Jarran Reed\ReedJa02,2018,26,Feb-49,SEA,NFL,16,16,1,0,0,9
156,Jabaal Sheard\SheaJa00,2018,29,Feb-37,IND,NFL,16,16,1,0,0,9
157,Darius Slay\SlayDa00,2018,27,Feb-36,DET,NFL,15,15,1,1,0,9
158,Jaylon Smith\SmitJa05,2018,23,Feb-34,DAL,NFL,16,16,1,0,0,9
159,Roquan Smith\SmitRo07,2018,21,8-Jan,CHI,NFL,16,14,1,0,0,9
160,Nate Solder\SoldNa00,2018,30,17-Jan,NYG,NFL,16,16,1,0,0,9
161,Ronnie Stanley\StanRo00,2018,24,6-Jan,BAL,NFL,15,15,1,0,0,9
162,Sam Tevi\TeviSa00,2018,24,6-190,LAC,NFL,16,15,1,0,0,9
163,Trai Turner\TurnTr01,2018,25,Mar-92,CAR,NFL,13,13,1,1,0,9
164,Brent Urban\UrbaBr00,2018,27,4-134,BAL,NFL,16,16,1,0,0,9
165,Eric Weddle\WeddEr99,2018,33,Feb-37,BAL,NFL,16,16,1,1,0,9
166,Carson Wentz\WentCa00,2018,26,2-Jan,PHI,NFL,11,11,1,0,0,9
167,Cody Whitehair\WhitCo03,2018,26,Feb-56,CHI,NFL,16,16,1,1,0,9
168,Avery Williamson\WillAv00,2018,26,5-151,NYJ,NFL,16,16,1,0,0,9
169,Jameis Winston\WinsJa00,2018,24,1-Jan,TAM,NFL,11,9,1,0,0,9
170,Wesley Woodyard\WoodWe20,2018,32,,TEN,NFL,14,14,1,0,0,9
171,Jonathan Allen\AlleJo01,2018,23,17-Jan,WAS,NFL,16,16,1,0,0,8
172,David Andrews\AndrDa00,2018,26,,NWE,NFL,16,16,1,0,0,8
173,Geno Atkins\AtkiGe99,2018,30,4-120,CIN,NFL,16,16,1,1,0,8
174,Caleb Benenoch\BeneCa00,2018,24,5-148,TAM,NFL,16,16,1,0,0,8
175,Garett Bolles\BollGa00,2018,26,20-Jan,DEN,NFL,16,16,1,0,0,8
176,Jayon Brown\BrowJa06,2018,23,5-155,TEN,NFL,16,9,1,0,0,8
177,Malcom Brown\BrowMa01,2018,24,Jan-32,NWE,NFL,15,14,1,0,0,8
178,Kevin Byard\ByarKe01,2018,25,Mar-64,TEN,NFL,16,16,1,0,0,8
179,Marcus Cannon\CannMa00,2018,30,5-138,NWE,NFL,13,13,1,0,0,8
180,Bradley Chubb\ChubBr00,2018,22,5-Jan,DEN,NFL,16,16,1,0,0,8
181,Chris Clark\ClarCh21,2018,33,,CAR,NFL,15,13,1,0,0,8
182,Kenny Clark\ClarKe01,2018,23,27-Jan,GNB,NFL,13,13,1,0,0,8
183,Tevin Coleman\ColeTe01,2018,25,Mar-73,ATL,NFL,16,14,1,0,0,8
184,La'el Collins\CollLa01,2018,25,,DAL,NFL,16,16,1,0,0,8
185,Amari Cooper\CoopAm00,2018,24,4-Jan,2TM,NFL,15,15,1,1,0,8
186,Andy Dalton\DaltAn00,2018,31,Feb-35,CIN,NFL,11,11,1,0,0,8
187,Marcell Dareus\DareMa00,2018,28,3-Jan,JAX,NFL,15,15,1,0,0,8
188,Julie'n Davenport\DaveJu00,2018,23,4-130,HOU,NFL,16,15,1,0,0,8
189,Demario Davis\DaviDe00,2018,29,Mar-77,NOR,NFL,16,16,1,0,0,8
