Player,Position,Team,DYAR,YAR,DOVA,VOA,Passes,Yards,EYds,TD,Catch Rate,Fum
T.Y. Hilton*\HiltT.00,WR,IND,75,60,-3.80%,-5.60%,109,966,801,4,52%,2
A.J. Green*\GreeA.00,WR,CIN,73,88,-6.40%,-5.10%,143,"1,086","1,063",8,52%,2
T.J. Jones\JoneT.00,WR,DET,73,68,6.90%,5.40%,49,399,413,1,61%,0
Eric Decker\DeckEr00,WR,TEN,72,80,-1.60%,-0.30%,83,563,638,1,65%,0
Chris Hogan\HogaCh00,WR,NE,71,84,2.50%,5.30%,59,439,483,5,58%,0
Terrance Williams\WillTe01,WR,DAL,67,75,-1.90%,-0.80%,78,568,611,0,68%,0
Travis Benjamin\BenjTr00,WR,LACH,65,76,0.50%,2.70%,66,574,500,4,53%,0
Jamison Crowder\CrowJa00,WR,WAS,64,50,-4.50%,-6.30%,103,789,731,3,64%,0
Deonte Thompson\ThomDe04,WR,2TM,64,85,-0.90%,2.90%,69,555,535,2,55%,0
Jordy Nelson\NelsJo00,WR,GB,58,49,-5.00%,-6.20%,89,482,706,6,60%,0
Kendall Wright\WrigKe01,WR,CHI,53,53,-4.80%,-4.90%,91,614,627,1,65%,0
Michael Crabtree\CrabMi00,WR,OAK,52,54,-6.50%,-6.20%,101,618,757,8,57%,1
Tyler Lockett\LockTy00,WR,SEA,48,68,-3.40%,0.40%,71,555,499,2,63%,0
Randall Cobb\CobbRa00,WR,GB,48,41,-6.00%,-7.00%,93,647,657,4,72%,1
Jordy Nelson\NelsJo00,WR,ARI,48,44,-1.90%,-2.70%,61,508,432,2,48%,1
Pierre Garcon\GarcPi00,WR,SF,45,41,-3.80%,-4.70%,67,500,481,0,60%,0
Josh Doctson\DoctJo00,WR,WAS,37,22,-7.10%,-9.40%,78,502,593,6,45%,0
Keelan Cole\ColeKe00,WR,JAC,35,57,-7.40%,-4.20%,83,752,594,3,51%,2
Seth Roberts\RobeSe00,WR,OAK,34,33,-5.80%,-6.10%,65,459,457,1,66%,2
Amari Cooper\CoopAm00,WR,OAK,27,20,-9.10%,-10.00%,95,680,640,7,51%,1
Taylor Gabriel\GabrTa00,WR,ATL,18,19,-8.00%,-7.70%,51,378,347,1,65%,0
DeVante Parker\ParkDe01,WR,MIA,12,6,-11.00%,-11.90%,96,670,631,1,59%,1
Bennie Fowler\FowlBe00,WR,DEN,12,14,-9.80%,-9.40%,56,350,358,3,52%,0
Jaron Brown\BrowJa03,WR,ARI,6,33,-11.50%,-6.60%,69,477,455,4,45%,0
