,Player,Team,Salary Cap Value,Cash Spent
112,Ameer Abdullah\AbduAm00,Vikings,"$412,586 ","$412,586 "
113,Justin Jackson\JackJu01,Chargers,"$395,294 ","$395,294 "
114,Daniel Lasco,Saints,"$393,000 ","$393,000 "
115,D.J. Foster,Cardinals,"$393,000 ","$393,000 "
116,Ty Montgomery\MontTy01,Ravens,"$379,324 ","$379,324 "
117,Zach Zenner\ZennZa00,Lions,"$373,235 ","$373,235 "
118,De'Lance Turner\TurnDe01,Ravens,"$369,177 ","$369,177 "
119,J.D. Moore,Chiefs,"$364,666 ","$368,000 "
120,Johnny Stanton,Vikings,"$363,000 ","$363,000 "
121,Chris Warren,Raiders,"$363,000 ","$363,000 "
122,Elijah Hood,Panthers,"$363,000 ","$363,000 "
123,Anthony Firkser,Titans,"$338,824 ","$338,824 "
124,David Williams\WillDa011,Jaguars,"$338,824 ","$338,824 "
125,Dontrell Hilliard,Browns,"$338,824 ","$338,824 "
126,Gus Edwards\EdwaGu00,Ravens,"$338,824 ","$338,824 "
127,Detrez Newsome\NewsDe00,Chargers,"$310,588 ","$310,588 "
128,Taquan Mizzell\MizzTa00,Bears,"$293,824 ","$293,824 "
129,Matt Dayes,49ers,"$261,176 ","$261,176 "
130,Kenjon Barner\BarnKe00,Panthers,"$259,412 ","$325,294 "
131,Travaris Cadet\CadeTr00,Panthers,"$259,412 ","$325,294 "
132,Tra Carson,Packers,"$226,589 ","$226,589 "
133,Jonathan Williams\WillJo07,Colts,"$222,353 ","$222,353 "
134,Jeff Wilson\WilsJe01,49ers,"$169,412 ","$169,412 "
135,Charcandrick West\WestCh01,Chiefs,"$148,235 ","$148,235 "
136,Trey Edmunds,Steelers,"$130,588 ","$130,588 "
137,Jeremy McNichols\McNiJe00,Titans,"$130,588 ","$130,588 "
138,Jordan Chunn,Cowboys,"$129,200 ","$129,200 "
139,Brian Hill\HillBr02,Falcons,"$129,200 ","$129,200 "
140,Ryan Nall,Bears,"$129,200 ","$129,200 "
141,Reggie Bonnafon,Panthers,"$129,200 ","$129,200 "
142,Robert Martin,Giants,"$121,600 ","$121,600 "
143,Tyler Ervin,Ravens,"$105,000 ","$105,000 "
144,De'Angelo Henderson\HendDe01,Jets,"$97,941 ","$97,941 "
145,Troymaine Pope,Chargers,"$97,941 ","$97,941 "
146,C.J. Anderson\AndeC.00,Rams,"$92,941 ","$92,941 "
147,Keith Ford\FordKe00,Bills,"$84,706 ","$84,706 "
148,Boston Scott,Eagles,"$84,706 ","$84,706 "
149,Brandon Wilds\WildBr01,Cardinals,"$83,600 ","$83,600 "
150,Kapri Bibbs\BibbKa00,Packers,"$82,941 ","$82,941 "
151,Donnel Pumphrey,Eagles,"$76,000 ","$76,000 "
152,James Butler,Raiders,"$76,000 ","$76,000 "
153,Devante Mays,Browns,"$76,000 ","$76,000 "
154,Jeremy Langford\LangJe00,Falcons,"$74,118 ","$74,118 "
155,Darius Jackson\JackDa01,Cowboys,"$65,294 ","$65,294 "
156,Lavon Coleman,Packers,"$56,471 ","$56,471 "
157,Bo Scarbrough,Seahawks,"$56,471 ","$56,471 "
158,Josh Ferguson,Texans,"$53,200 ","$53,200 "
159,Roc Thomas\ThomRo05,Vikings,"$53,200 ","$53,200 "
160,Mark Thompson,Jets,"$38,000 ","$38,000 "
161,Dare Ogunbowale,Buccaneers,"$30,400 ","$30,400 "
162,Ralph Webb,Steelers,"$30,400 ","$30,400 "
163,Dalyn Dawkins,Titans,"$30,400 ","$30,400 "
164,Khalfani Muhammad,Broncos,"$30,400 ","$30,400 "
165,Quinton Flowers,Bengals,"$28,235 ","$28,235 "
166,Joel Bouagnon,Jets,"$22,800 ","$22,800 "
167,Justin Stockton,Lions,"$15,200 ","$15,200 "
168,Russ Hansbrough,Redskins,"$15,200 ","$15,200 "
169,Le'Veon Bell,Steelers,$0 ,$0 
